objectID	spontaneous	yellowhammers	shrikes	date	time	areasize	cuttingdate	type_lvl1	type_lvl2	grass	spruce	shrubs	birch	raspberry	branches	bare	stones	total	trees	stubs	vegheight	edgeN	edgeE	edgeS	edgeW	edges	distfl10ha	distcc	propfl_250	propcc_250
202	1	1	0	04/06/2018	7:14:00 AM	4175	NA	forest	plantation	10	30	60	0	0	0	0	0	100	yes	no	2	forest	forest	forest	forest	1	34.34322	94.25297	0.16	0.045836934
204	1	1	0	29/05/2018	6:19:00 AM	7582	NA	forest	plantation	0	80	0	20	0	0	0	0	100	no	yes	3	forest	forest	forest	clearcut	0.75	327.71785	11.45608	0.12	0.179875484
210	1	1	0	31/05/2018	5:20:00 AM	8497	NA	forest	plantation	0	100	0	0	0	0	0	0	100	yes	no	2	forest	forest	hedge	open	0.625	28.87682	111.75989	0.14	0.136463591
211	1	1	1	18/05/2018	9:16:00 AM	41579	NA	forest	clearcut	10	0	0	0	0	70	10	10	100	no	yes	1	clearcut	forest	clearcut	clearcut	0.25	60.35078	5.34151	0.12	0.362038677
212	1	0	2	18/05/2018	9:10:00 AM	4902	NA	forest	clearcut	0	10	10	0	0	70	10	0	100	yes	yes	1	clearcut	open	open	forest	0.25	11.07462	8.86549	0.30	0.207262114
213	1	1	0	18/05/2018	9:03:00 AM	6712	NA	forest	plantation	0	100	0	0	0	0	0	0	100	no	no	2.5	forest	forest	open	forest	0.75	3.8304	64.37648	0.34	0.099616254
216	1	2	0	24/05/2018	5:30:00 AM	6854	NA	forest	clearcut	20	0	0	70	0	0	10	0	100	no	no	1.5	forest	forest	clearcut	forest	0.75	9.52951	6.54615	0.29	0.15826813
217	1	1	1	22/05/2018	5:41:00 AM	42314	NA	forest	clearcut	10	10	0	0	5	0	65	10	100	no	yes	0.2	clearcut	clearcut	clearcut	forest	0.25	223.93489	4.01389	0.10	0.376288953
222	1	1	0	03/06/2018	6:47:00 AM	25033	NA	forest	plantation	5	75	0	20	0	0	0	0	100	no	no	4	forest	forest	forest	forest	1	11.34465	380.35954	0.11	0
143231	1	1	0	22/05/2018	6:05:00 AM	11515	25/05/2008	forest	clearcut	0	40	20	20	20	0	0	0	100	no	no	2	clearcut	clearcut	forest	clearcut	0.25	160.81305	15.53265	0.06	0.266861752
143232	1	1	0	22/05/2018	6:12:00 AM	21931	25/05/2008	forest	clearcut	0	40	20	20	20	0	0	0	100	no	no	2	clearcut	clearcut	forest	clearcut	0.25	165.04454	11.85588	0.08	0.23985544
143562	1	2	0	30/05/2018	6:33:00 AM	5719	12/06/2007	forest	clearcut	0	100	0	0	0	0	0	0	100	no	no	3.5	forest	forest	clearcut	forest	0.75	351.42576	219.29049	0.07	0.065563531
