objectID	spontaneous	yellowhammers	shrikes	date	time	areasize	cuttingdate	type_lvl1	type_lvl2	grass	spruce	shrubs	birch	raspberry	branches	bare	stones	total	trees	stubs	vegheight	edgeN	edgeE	edgeS	edgeW	edges	distfl10ha	distcc	farmland_250	clearcuts250
0	0	0	0	20/05/2018	9:24:00 AM	69356	NA	agriculture	pasture	90	0	5	0	0	0	0	5	100	yes	no	0.2	forest	open	hedge	open	0.375	6.37445	203.93268	325092	7264
1	0	0	0	23/05/2018	8:26:00 AM	52570	NA	agriculture	pasture	80	0	10	5	0	0	0	5	100	yes	no	0.2	open	forest	forest	forest	0.75	2.29043	238.2211	241631	273
2	0	2	0	23/05/2018	8:20:00 AM	36264	NA	agriculture	pasture	80	0	10	10	0	0	0	0	100	yes	no	0.2	forest	forest	open	forest	0.75	2.3385	147.67163	204908	25356
3	0	0	0	23/05/2018	8:06:00 AM	31659	NA	agriculture	pasture	80	0	10	0	5	0	0	5	100	yes	no	0.2	forest	forest	open	open	0.5	6.56291	40.09028	99713	39119
4	0	0	0	30/05/2018	7:48:00 AM	14440	NA	agriculture	pasture	80	0	5	5	5	0	0	5	100	no	no	0.2	forest	forest	forest	forest	1	138.92131	27.57426	62748	5631
5	0	0	0	30/05/2018	7:41:00 AM	8392	NA	agriculture	pasture	80	0	15	0	0	0	0	5	100	yes	no	0.5	forest	water	forest	forest	0.75	215.86889	271.23209	40214	0
6	0	0	0	31/05/2018	5:09:00 AM	28218	NA	agriculture	pasture	90	0	0	5	0	0	0	5	100	no	no	0.2	forest	open	clearcut	open	0.25	2.2631	21.83965	37587	33952
8	0	0	0	16/05/2018	7:10:00 AM	65593	NA	agriculture	pasture	70	0	20	0	0	0	0	10	100	yes	no	1	open	hedge	hedge	forest	0.5	7.23993	325.95586	297198	0
26	0	0	0	29/05/2018	5:32:00 AM	13487	NA	agriculture	pasture	80	0	10	0	0	0	0	10	100	no	no	0.5	hedge	forest	hedge	hedge	0.625	24.00915	278.85624	159135	0
27	0	0	0	30/05/2018	5:31:00 AM	7686	NA	agriculture	pasture	90	0	5	0	0	0	0	5	100	yes	no	0.2	open	forest	forest	open	0.5	12.05411	124.54055	207608	22218
28	0	1	2	30/05/2018	5:41:00 AM	56250	NA	agriculture	pasture	70	0	20	0	5	0	0	5	100	yes	no	0.5	forest	hedge	open	forest	0.625	5.04683	149.56246	362707	16368
29	0	0	0	17/05/2018	7:40:00 AM	55208	NA	agriculture	pasture	60	0	30	0	5	0	0	5	100	yes	yes	1	forest	open	open	clearcut	0.25	4.01186	18.36796	237499	64615
33	0	0	0	17/05/2018	6:43:00 AM	23223	NA	agriculture	pasture	80	0	15	0	0	0	0	5	100	yes	yes	0.5	forest	forest	forest	forest	1	223.24364	36.39938	8339	24725
35	0	0	1	30/05/2018	8:15:00 AM	29103	NA	agriculture	pasture	80	5	10	0	0	0	0	5	100	yes	yes	0.5	hedge	forest	forest	open	0.625	16.61981	59.59459	212660	30739
