"","objectID","spontaneous","yellowhammers","date","time","areasize","cuttingdate","type_lvl1","grass","spruce","shrubs","birch","raspberry","branches","bare","stones","trees","stubs","vegheight","edges","distfl10ha","distcc","farmland_250","clearcuts250","yh_occ","type1_num","year"
"1","212","1",0,2018-05-18,09:10:00,4902,NA,"forest",0,10,10,0,0,70,10,0,"yes","yes",1,0.25,14.23031,8.86549,73188,59321,"0",2,NA
"2","944219","0",0,2018-05-29,07:46:00,5472,2013-06-03,"forest",50,40,0,0,0,10,0,0,"no","no",1.5,1,406.97565,1.9003,0,5244,"0",2,2013
"3","944221","0",0,2018-05-29,07:35:00,7305,2013-06-03,"forest",35,30,0,25,10,0,0,0,"yes","yes",1.5,0.75,154.34473,2.55415,17657,27550,"0",2,2013
"4","944222","0",0,2018-05-29,05:45:00,5576,2013-06-03,"forest",70,10,0,20,0,0,0,0,"yes","yes",2,1,110.93223,711.88426,47559,0,"0",2,2013
"5","945469","0",0,2018-05-21,08:15:00,51604,2013-06-03,"forest",10,0,0,70,10,0,0,10,"no","yes",1.5,0.75,14.83411,5.13081,81302,84516,"0",2,2013
"6","945470","0",0,2018-05-21,09:05:00,22927,2013-03-06,"forest",10,25,0,60,5,0,0,0,"no","yes",1.5,0.5,160.24435,10.3456,1502,60234,"0",2,2013
"7","945824","0",0,2018-05-23,05:44:00,3178,2013-06-03,"forest",0,0,0,95,0,0,0,5,"no","yes",2.5,0.5,539.28501,252.78026,0,30497,"0",2,2013
"8","945832","0",0,2018-05-22,05:40:00,12166,2013-03-06,"forest",15,25,0,50,0,10,0,0,"no","yes",1.5,0.5,180.24363,10.34523,13502,73331,"0",2,2013
"9","945840","0",0,2018-05-24,06:45:00,8260,2013-06-03,"forest",10,45,0,45,0,0,0,0,"no","yes",2,0.75,8.96101,69.6073,114239,35325,"0",2,2013
"10","945841","0",0,2018-05-24,06:53:00,3709,2013-06-03,"forest",15,35,0,30,5,0,15,0,"no","no",1.5,1,136.91208,10.02305,41445,54338,"0",2,2013
"11","946187","0",0,2018-05-21,05:00:00,30120,2013-06-03,"forest",50,25,0,10,15,0,0,0,"yes","yes",1,0.75,522.50845,17.2642,54683,101813,"0",2,2013
"12","1037366","0",0,2018-06-05,06:59:00,11538,2013-06-03,"forest",25,0,0,50,0,0,25,0,"no","no",2,0.75,399.54129,177.93254,39383,24283,"0",2,2013
"13","1255800","0",0,2018-05-22,05:56:00,22246,2014-07-09,"forest",30,20,0,35,5,0,5,5,"no","yes",1.5,0.25,217.95792,4.80829,1194,120166,"0",2,2014
"14","1255801","0",0,2018-05-25,07:07:00,10287,2014-07-09,"forest",10,20,0,60,10,0,0,0,"no","yes",1.5,0.75,626.57241,226.37249,0,23845,"0",2,2014
