"","objectID","spontaneous","yellowhammers","date","time","areasize","cuttingdate","type_lvl1","grass","spruce","shrubs","birch","raspberry","branches","bare","stones","trees","stubs","vegheight","edges","distfl10ha","distcc","farmland_250","clearcuts250","yh_occ","type1_num","year"
"1","202","1",1,2018-06-04,07:14:00,4175,NA,"forest",10,30,60,0,0,0,0,0,"yes","no",2,1,1591.04733,94.25297,0,11828,"1",2,NA
"2","204","1",1,2018-05-29,06:19:00,7582,NA,"forest",0,80,0,20,0,0,0,0,"no","yes",3,0.75,854.23091,11.45608,8555,48229,"1",2,NA
"3","210","1",1,2018-05-31,05:20:00,8497,NA,"forest",0,100,0,0,0,0,0,0,"yes","no",2,0.625,9.76363,111.75989,41112,24800,"1",2,NA
"4","211","1",1,2018-05-18,09:16:00,41579,NA,"forest",10,0,0,0,0,70,10,10,"no","yes",1,0.25,64.44174,5.34151,40328,147711,"1",2,NA
"5","213","1",1,2018-05-18,09:03:00,6712,NA,"forest",0,100,0,0,0,0,0,0,"no","no",2.5,0.75,12.90892,64.37648,91905,29289,"1",2,NA
"6","216","1",2,2018-05-24,05:30:00,6854,NA,"forest",20,0,0,70,0,0,10,0,"no","no",1.5,0.75,22.61227,6.54615,85642,38001,"1",2,NA
"7","217","1",1,2018-05-22,05:41:00,42314,NA,"forest",10,10,0,0,5,0,65,10,"no","yes",0.2,0.25,15.50031,4.01389,59678,138931,"1",2,NA
"8","222","1",1,2018-06-03,06:47:00,25033,NA,"forest",5,75,0,20,0,0,0,0,"no","no",4,1,112.80461,380.35954,24265,0,"1",2,NA
"9","143231","1",1,2018-05-22,06:05:00,11515,2008-05-25,"forest",0,40,20,20,20,0,0,0,"no","no",2,0.25,22.88661,15.53265,31094,69808,"1",2,2008
"10","143232","1",1,2018-05-22,06:12:00,21931,2008-05-25,"forest",0,40,20,20,20,0,0,0,"no","no",2,0.25,30.44813,11.85588,36708,57432,"1",2,2008
"11","143562","1",2,2018-05-30,06:33:00,5719,2007-06-12,"forest",0,100,0,0,0,0,0,0,"no","no",3.5,0.75,125.58366,219.29049,6345,12635,"1",2,2007
"12","237716","1",1,2018-05-24,08:16:00,12832,2008-05-25,"forest",0,70,0,30,0,0,0,0,"no","no",5,0.75,5.49246,271.04956,74717,49222,"1",2,2008
"13","237718","1",2,2018-06-04,06:43:00,65051,2008-05-25,"forest",0,100,0,0,0,0,0,0,"no","no",5,0.75,1582.49969,10.43768,0,112029,"1",2,2008
"14","238766","1",1,2018-05-30,07:54:00,7609,2007-06-12,"forest",0,70,0,30,0,0,0,0,"yes","no",4,0.5,64.45997,8.71738,55268,5000,"1",2,2007
"15","238823","1",1,2018-05-21,07:03:00,14525,2008-05-25,"forest",0,100,0,0,0,0,0,0,"no","no",5,0.75,12.95525,6.84633,97965,3882,"1",2,2008
"16","517506","1",1,2018-05-28,05:58:00,23501,2009-06-14,"forest",0,80,0,0,0,0,20,0,"no","no",3,0.25,246.37546,10.11548,7,53547,"1",2,2009
"17","605111","1",3,2018-05-31,06:56:00,46952,2010-06-02,"forest",0,100,0,0,0,0,0,0,"no","no",4,0.5,13.259,19.46728,109024,42315,"1",2,2010
"18","605118","1",1,2018-05-23,06:09:00,15535,2010-06-02,"forest",0,100,0,0,0,0,0,0,"yes","no",4,0.75,946.81861,9.22227,0,64337,"1",2,2010
"19","605126","1",2,2018-05-25,06:25:00,17725,2010-06-02,"forest",0,100,0,0,0,0,0,0,"yes","no",4,0.75,11.73413,175.6571,37827,41352,"1",2,2010
"20","605128","1",1,2018-05-17,05:36:00,21410,2010-06-02,"forest",0,80,0,20,0,0,0,0,"no","no",4,0.5,197.69673,5.26803,2767,118180,"1",2,2010
"21","605467","1",3,2018-05-18,08:44:00,70436,2010-06-02,"forest",0,80,20,0,0,0,0,0,"yes","yes",3,0.25,0.63884,123.09579,142727,80882,"1",2,2010
