,yellowhammers,shrikes,date,time,areasize,cuttingdate,grass,spruce,shrubs,birch,raspberry,branches,bare,stones,vegheight
yellowhammers,1,0.148469266,-0.085075219,0.004254725,0.374915574,-0.480933722,-0.305341139,0.481324779,0.040931968,-0.071895224,-0.10551824,-0.154985717,-0.396976425,-0.31199397,0.485629993
shrikes,0.148469266,1,-0.024273614,0.133736747,0.272924216,0.012815745,-0.056989088,-0.028937896,-0.087232252,0.058449719,0.090923038,0.176858168,-0.035565869,-0.039975245,-0.098309959
date,-0.085075219,-0.024273614,1,0.031018496,-0.221868194,0.031766018,0.017380121,0.11773611,-0.039797424,-0.007099128,-0.123626212,-0.085446157,0.037870159,-0.176779281,0.041302853
time,0.004254725,0.133736747,0.031018496,1,0.072284216,0.117728526,0.04774167,-0.069244195,0.018954456,-0.128934099,-0.040152795,0.127657786,0.045400122,-0.054552906,-0.160167443
areasize,0.374915574,0.272924216,-0.221868194,0.072284216,1,-0.155350283,-0.023787043,0.124504291,-0.098935877,-0.095032654,0.007327468,-0.021644631,-0.161349905,0.065765791,0.086791688
cuttingdate,-0.480933722,0.012815745,0.031766018,0.117728526,-0.155350283,1,0.487984283,-0.631716318,0.117827813,-0.15125164,0.031854782,0.523075781,0.522532565,0.539621775,-0.77027169
grass,-0.305341139,-0.056989088,0.017380121,0.04774167,-0.023787043,0.487984283,1,-0.544951102,-0.038694184,-0.070154979,0.129466481,0.256599605,0.22108724,0.3391143,-0.616242008
spruce,0.481324779,-0.028937896,0.11773611,-0.069244195,0.124504291,-0.631716318,-0.544951102,1,-0.242387287,-0.087061287,-0.264358615,-0.379351573,-0.413374449,-0.525940418,0.634173008
shrubs,0.040931968,-0.087232252,-0.039797424,0.018954456,-0.098935877,0.117827813,-0.038694184,-0.242387287,1,-0.1874796,-0.054158687,0.185643184,-0.01011629,-0.14603696,0.014175416
birch,-0.071895224,0.058449719,-0.007099128,-0.128934099,-0.095032654,-0.15125164,-0.070154979,-0.087061287,-0.1874796,1,0.213383533,-0.111332874,-0.280488362,-0.012571562,0.164849287
raspberry,-0.10551824,0.090923038,-0.123626212,-0.040152795,0.007327468,0.031854782,0.129466481,-0.264358615,-0.054158687,0.213383533,1,-0.113004601,-0.03310589,0.112558876,-0.126657903
branches,-0.154985717,0.176858168,-0.085446157,0.127657786,-0.021644631,0.523075781,0.256599605,-0.379351573,0.185643184,-0.111332874,-0.113004601,1,0.162496492,0.216941389,-0.460645628
bare,-0.396976425,-0.035565869,0.037870159,0.045400122,-0.161349905,0.522532565,0.22108724,-0.413374449,-0.01011629,-0.280488362,-0.03310589,0.162496492,1,0.365226347,-0.596333116
stones,-0.31199397,-0.039975245,-0.176779281,-0.054552906,0.065765791,0.539621775,0.3391143,-0.525940418,-0.14603696,-0.012571562,0.112558876,0.216941389,0.365226347,1,-0.454586771
vegheight,0.485629993,-0.098309959,0.041302853,-0.160167443,0.086791688,-0.77027169,-0.616242008,0.634173008,0.014175416,0.164849287,-0.126657903,-0.460645628,-0.596333116,-0.454586771,1
