"","yellowhammers","shrikes","date","time","areasize","cuttingdate","grass","spruce","shrubs","birch","raspberry","branches","bare","stones","vegheight","edges","distfl10ha","distcc","farmland_250","clearcuts250"
"yellowhammers",1,0.0762289145269527,0.00692123287313349,-0.0295355567757684,0.302276596806161,NA,-0.254554068328431,0.349789138744372,-0.00793221642285059,-0.00817338547781825,-0.0660853279459947,-0.130577200855286,-0.267122812012632,-0.33042132243606,0.412372716937386,-0.198252292964908,-0.147977230939335,-0.247384019800445,0.126998015405784,0.118200650057385
"shrikes",0.0762289145269527,1,-0.0223980463145456,0.148953145530694,0.230912652171923,NA,-0.0319486621535611,-0.0555228699635711,-0.0172151360341444,-0.0352820057024309,0.0539619385301832,0.157875812986701,0.0321095161107939,0.0666417368814877,-0.108811703830149,-0.189923394309392,-0.105504633768127,-0.168425229336498,0.171362844752286,0.134454826886258
"date",0.00692123287313349,-0.0223980463145456,1,-0.135890155600083,-0.187899039163402,NA,0.0100480974788718,0.108567561032832,0.0122940472387423,0.0206035550679023,-0.0902925738241859,-0.100610430737957,-0.031048158325388,-0.169781945642856,0.0891703283905859,0.198357844416999,0.193379478941893,0.134983272653232,-0.0888939974369699,-0.153074312530592
"time",-0.0295355567757684,0.148953145530694,-0.135890155600083,1,0.155618859884561,NA,0.0257346251511469,-0.0165887717649276,0.0294931497900206,-0.138681389611665,-0.0837412670493533,0.127256256818459,0.0277383139114972,-0.0682294960076668,-0.171136375187104,0.154424033780992,-0.0585937820309807,-0.0293043732146771,0.0240827574763884,-0.0596488556461077
"areasize",0.302276596806161,0.230912652171923,-0.187899039163402,0.155618859884561,1,NA,0.170771069041947,-0.0668807121557703,0.100757372541046,-0.159323366152879,-0.0199429703704833,-0.0838793371604977,-0.158442373431531,0.135204763881153,-0.0750688477068879,-0.263437815689951,-0.172962605253493,-0.293488226572171,0.183791581018955,0.313820035622261
"cuttingdate",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grass",-0.254554068328431,-0.0319486621535611,0.0100480974788718,0.0257346251511469,0.170771069041947,NA,1,-0.682921256135101,0.354325154392556,-0.323236690047618,-0.0450805429857726,-0.0908503694068022,-0.108730008948593,0.242042096134043,-0.679838621531113,0.0550583211028858,-0.392927099722424,0.121895758115492,0.451965993816501,-0.333195057570222
"spruce",0.349789138744372,-0.0555228699635711,0.108567561032832,-0.0165887717649276,-0.0668807121557703,NA,-0.682921256135101,1,-0.460532882066229,0.165194177541606,-0.117820889480976,-0.0920939975426138,-0.136754708887952,-0.413473493323708,0.637751661985432,-0.0516137259165245,0.292364255995225,-0.183265544629899,-0.382564390145916,0.280651331108902
"shrubs",-0.00793221642285059,-0.0172151360341444,0.0122940472387423,0.0294931497900206,0.100757372541046,NA,0.354325154392556,-0.460532882066229,1,-0.366985036468095,-0.074130509831928,-0.13593317867914,-0.226659702263729,0.00983347464645416,-0.147955788670553,0.0531180778831423,-0.415368476339003,0.0180676284824999,0.446991442266713,-0.193147335148889
"birch",-0.00817338547781825,-0.0352820057024309,0.0206035550679023,-0.138681389611665,-0.159323366152879,NA,-0.323236690047618,0.165194177541606,-0.366985036468095,1,0.290959314110562,0.096946330854627,-0.0291088302243232,-0.0354903225607251,0.34982207082466,0.0437644196100366,0.239453947440186,0.0795603563393668,-0.236976239124675,0.121379642617291
"raspberry",-0.0660853279459947,0.0539619385301832,-0.0902925738241859,-0.0837412670493533,-0.0199429703704833,NA,-0.0450805429857726,-0.117820889480976,-0.074130509831928,0.290959314110562,1,-0.019984073337039,0.0393709556833521,0.101778510439252,0.00017170934221745,-0.129570631072461,0.00627357132443912,-0.139208793175782,-0.0156068452241235,0.193022210901227
"branches",-0.130577200855286,0.157875812986701,-0.100610430737957,0.127256256818459,-0.0838793371604977,NA,-0.0908503694068022,-0.0920939975426138,-0.13593317867914,0.096946330854627,-0.019984073337039,1,0.276483097663743,0.151095889860842,-0.205863706543883,0.17977971741754,0.19375874291637,0.091026516478363,-0.170037299024279,-0.0461414726484513
"bare",-0.267122812012632,0.0321095161107939,-0.031048158325388,0.0277383139114972,-0.158442373431531,NA,-0.108730008948593,-0.136754708887952,-0.226659702263729,-0.0291088302243232,0.0393709556833521,0.276483097663743,1,0.272934626395835,-0.346002459261901,0.11547399321914,0.276643449884096,0.117687233447922,-0.281305346318219,0.0790336632129429
"stones",-0.33042132243606,0.0666417368814877,-0.169781945642856,-0.0682294960076668,0.135204763881153,NA,0.242042096134043,-0.413473493323708,0.00983347464645416,-0.0354903225607251,0.101778510439252,0.151095889860842,0.272934626395835,1,-0.343970457446914,-0.00421254569636086,0.0697082393524441,0.0207128587691194,-0.0941786487162326,0.0039748182197541
"vegheight",0.412372716937386,-0.108811703830149,0.0891703283905859,-0.171136375187104,-0.0750688477068879,NA,-0.679838621531113,0.637751661985432,-0.147955788670553,0.34982207082466,0.00017170934221745,-0.205863706543883,-0.346002459261901,-0.343970457446914,1,-0.128850283725343,0.156880025874167,-0.205469827715205,-0.22309715850238,0.262390773672748
"edges",-0.198252292964908,-0.189923394309392,0.198357844416999,0.154424033780992,-0.263437815689951,NA,0.0550583211028858,-0.0516137259165245,0.0531180778831423,0.0437644196100366,-0.129570631072461,0.17977971741754,0.11547399321914,-0.00421254569636086,-0.128850283725343,1,0.298954902161755,0.259858585302641,-0.272809805224987,-0.362264181884158
"distfl10ha",-0.147977230939335,-0.105504633768127,0.193379478941893,-0.0585937820309807,-0.172962605253493,NA,-0.392927099722424,0.292364255995225,-0.415368476339003,0.239453947440186,0.00627357132443912,0.19375874291637,0.276643449884096,0.0697082393524441,0.156880025874167,0.298954902161755,1,-0.0714159400378164,-0.861555527744973,0.239397570094008
"distcc",-0.247384019800445,-0.168425229336498,0.134983272653232,-0.0293043732146771,-0.293488226572171,NA,0.121895758115492,-0.183265544629899,0.0180676284824999,0.0795603563393668,-0.139208793175782,0.091026516478363,0.117687233447922,0.0207128587691194,-0.205469827715205,0.259858585302641,-0.0714159400378164,1,0.14908462648546,-0.543753917547381
"farmland_250",0.126998015405784,0.171362844752286,-0.0888939974369699,0.0240827574763884,0.183791581018955,NA,0.451965993816501,-0.382564390145916,0.446991442266713,-0.236976239124675,-0.0156068452241235,-0.170037299024279,-0.281305346318219,-0.0941786487162326,-0.22309715850238,-0.272809805224987,-0.861555527744973,0.14908462648546,1,-0.323246311423935
"clearcuts250",0.118200650057385,0.134454826886258,-0.153074312530592,-0.0596488556461077,0.313820035622261,NA,-0.333195057570222,0.280651331108902,-0.193147335148889,0.121379642617291,0.193022210901227,-0.0461414726484513,0.0790336632129429,0.0039748182197541,0.262390773672748,-0.362264181884158,0.239397570094008,-0.543753917547381,-0.323246311423935,1
