objectID,yellowhammers,shrikes,date,time,areasize,cuttingdate,type,grass,spruce,shrubs,birch,raspberry,branches,bare,stones,total,trees,stubs,vegheight,edgeN,edgeE,edgeS,edgeW,openamount,isolation
0,0,0,20/05/2018,9:24:00 AM,69356,NA,pasture,90,0,5,0,0,0,0,5,100,yes,no,0.2,forest,open,hedge,open,,
1,0,0,23/05/2018,8:26:00 AM,52570,NA,pasture,80,0,10,5,0,0,0,5,100,yes,no,0.2,open,forest,forest,forest,,
2,2,0,23/05/2018,8:20:00 AM,36264,NA,pasture,80,0,10,10,0,0,0,0,100,yes,no,0.2,forest,forest,open,forest,,
3,0,0,23/05/2018,8:06:00 AM,31659,NA,pasture,80,0,10,0,5,0,0,5,100,yes,no,0.2,forest,forest,open,open,,
4,0,0,30/05/2018,7:48:00 AM,14440,NA,pasture,80,0,5,5,5,0,0,5,100,no,no,0.2,forest,forest,forest,forest,,
5,0,0,30/05/2018,7:41:00 AM,8392,NA,pasture,80,0,15,0,0,0,0,5,100,yes,no,0.5,forest,water,forest,forest,,
6,0,0,31/05/2018,5:09:00 AM,28218,NA,pasture,90,0,0,5,0,0,0,5,100,no,no,0.2,forest,open,clearcut,open,,
8,0,0,16/05/2018,7:10:00 AM,65593,NA,pasture,70,0,20,0,0,0,0,10,100,yes,no,1,open,hedge,hedge,forest,,
26,0,0,29/05/2018,5:32:00 AM,13487,NA,pasture,80,0,10,0,0,0,0,10,100,no,no,0.5,hedge,forest,hedge,hedge,,
27,0,0,30/05/2018,5:31:00 AM,7686,NA,pasture,90,0,5,0,0,0,0,5,100,yes,no,0.2,open,forest,forest,open,,
28,1,2,30/05/2018,5:41:00 AM,56250,NA,pasture,70,0,20,0,5,0,0,5,100,yes,no,0.5,forest,hedge,open,forest,,
29,0,0,17/05/2018,7:40:00 AM,55208,NA,pasture,60,0,30,0,5,0,0,5,100,yes,yes,1,forest,open,open,clearcut,,
33,0,0,17/05/2018,6:43:00 AM,23223,NA,pasture,80,0,15,0,0,0,0,5,100,yes,yes,0.5,forest,forest,forest,forest,,
35,0,1,30/05/2018,8:15:00 AM,29103,NA,pasture,80,5,10,0,0,0,0,5,100,yes,yes,0.5,hedge,forest,forest,open,,
41,0,0,30/05/2018,7:14:00 AM,18230,NA,pasture,60,0,30,0,5,0,0,5,100,yes,no,0.5,forest,forest,hedge,forest,,
43,0,0,18/05/2018,5:24:00 AM,7044,NA,pasture,60,0,10,20,10,0,0,0,100,yes,no,1,forest,forest,forest,forest,,
51,1,0,01/06/2018,5:40:00 AM,15169,NA,pasture,65,0,20,10,5,0,0,0,100,no,no,1,forest,forest,forest,forest,,
52,1,0,01/06/2018,5:30:00 AM,25073,NA,pasture,60,0,30,5,0,0,0,5,100,yes,no,1.5,forest,hedge,hedge,forest,,
53,0,0,15/05/2018,8:06:00 AM,76123,NA,pasture,95,0,5,0,0,0,0,0,100,no,no,0.2,hedge,forest,forest,hedge,,
67,0,0,25/05/2018,7:52:00 AM,27431,NA,pasture,90,0,10,0,0,0,0,0,100,no,no,0.2,hedge,forest,forest,forest,,
68,0,1,21/05/2018,6:46:00 AM,21015,NA,pasture,90,0,5,0,0,0,0,5,100,yes,no,0.2,forest,open,hedge,forest,,
70,0,0,28/05/2018,5:04:00 AM,14937,NA,pasture,40,0,40,10,0,0,0,10,100,yes,no,1.5,forest,open,forest,open,,
71,0,0,28/05/2018,5:17:00 AM,4521,NA,pasture,70,0,20,0,10,0,0,0,100,no,no,0.5,forest,forest,forest,forest,,
76,2,0,24/05/2018,8:20:00 AM,57580,NA,pasture,60,0,20,20,0,0,0,0,100,yes,no,1,clearcut,forest,open,forest,,
78,2,0,24/05/2018,6:31:00 AM,99884,NA,pasture,65,0,15,5,10,0,0,5,100,yes,no,1,forest,forest,forest,open,,
81,1,0,03/06/2018,5:30:00 AM,38542,NA,pasture,50,0,15,25,5,0,0,5,100,yes,no,1.5,forest,clearcut,forest,forest,,
83,2,1,01/06/2018,6:33:00 AM,41893,NA,pasture,50,0,30,10,10,0,0,0,100,yes,no,1,hedge,open,open,forest,,
84,0,2,01/06/2018,6:50:00 AM,8356,NA,pasture,60,0,5,30,0,0,0,5,100,no,no,1.5,forest,forest,forest,open,,
201,0,0,17/05/2018,5:19:00 AM,27946,NA,pasture,70,0,15,5,0,0,0,10,100,yes,no,1,forest,hedge,forest,forest,,
202,1,0,04/06/2018,7:14:00 AM,4175,NA,plantation,10,30,60,0,0,0,0,0,100,yes,no,2,forest,forest,forest,forest,,
203,0,1,05/06/2018,6:51:00 AM,44636,NA,pasture,85,0,10,0,0,0,0,5,100,no,no,0.5,forest,forest,forest,forest,,
204,1,0,29/05/2018,6:19:00 AM,7582,NA,plantation,0,80,0,20,0,0,0,0,100,no,yes,3,forest,forest,forest,clearcut,,
205,1,0,29/05/2018,5:13:00 AM,5550,NA,pasture,70,0,20,0,5,0,0,5,100,yes,no,1,forest,forest,forest,clearcut,,
206,1,0,29/05/2018,5:27:00 AM,30305,NA,pasture,90,0,5,0,0,0,0,5,100,yes,no,0.5,forest,hedge,forest,forest,,
207,1,0,29/05/2018,5:30:00 AM,16925,NA,pasture,95,0,5,0,0,0,0,0,100,no,no,0.5,hedge,hedge,hedge,hedge,,
208,1,0,30/05/2018,6:59:00 AM,85629,NA,arable,85,0,10,0,0,0,5,0,100,yes,no,0.5,forest,forest,open,hedge,,
209,1,0,30/05/2018,6:55:00 AM,15192,NA,arable,100,0,0,0,0,0,0,0,100,no,no,0.2,hedge,hedge,hedge,open,,
210,1,0,31/05/2018,5:20:00 AM,8497,NA,plantation,0,100,0,0,0,0,0,0,100,yes,no,2,forest,forest,hedge,open,,
211,1,1,18/05/2018,9:16:00 AM,41579,NA,clearcut,10,0,0,0,0,70,10,10,100,no,yes,1,clearcut,forest,clearcut,clearcut,,
212,0,2,18/05/2018,9:10:00 AM,4902,NA,clearcut,0,10,10,0,0,70,10,0,100,yes,yes,1,clearcut,open,open,forest,,
213,1,0,18/05/2018,9:03:00 AM,6712,NA,plantation,0,100,0,0,0,0,0,0,100,no,no,2.5,forest,forest,open,forest,,
214,0,1,16/05/2018,8:10:00 AM,16527,NA,pasture,95,0,0,0,0,0,0,5,100,no,no,0.2,hedge,forest,open,open,,
215,1,0,23/05/2018,8:16:00 AM,13891,NA,pasture,90,0,10,0,0,0,0,0,100,no,no,0.5,hedge,forest,forest,hedge,,
216,2,0,24/05/2018,5:30:00 AM,6854,NA,clearcut,20,0,0,70,0,0,10,0,100,no,no,1.5,forest,forest,clearcut,forest,,
217,1,1,22/05/2018,5:41:00 AM,42314,NA,clearcut,10,10,0,0,5,0,65,10,100,no,yes,0.2,clearcut,clearcut,clearcut,forest,,
218,0,0,22/05/2018,6:32:00 AM,9762,NA,pasture,75,0,10,5,5,0,0,5,100,no,no,0.5,forest,open,forest,open,,
219,0,0,31/05/2018,7:05:00 AM,32165,NA,pasture,90,0,10,0,0,0,0,0,100,yes,no,0.5,forest,forest,forest,open,,
220,1,0,01/06/2018,6:17:00 AM,19041,NA,pasture,85,0,15,0,0,0,0,0,100,no,no,0.5,hedge,forest,hedge,open,,
221,0,0,01/06/2018,6:21:00 AM,3079,NA,pasture,100,0,0,0,0,0,0,0,100,no,no,0.2,hedge,open,hedge,hedge,,
222,1,0,03/06/2018,6:47:00 AM,25033,NA,plantation,5,75,0,20,0,0,0,0,100,no,no,4,forest,forest,forest,forest,,
223,0,0,25/05/2018,5:27:00 AM,12817,NA,pasture,95,0,0,0,0,5,0,0,100,no,no,0.2,open,open,open,open,,
224,2,0,21/05/2018,7:30:00 AM,39810,NA,arable,100,0,0,0,0,0,0,0,100,no,no,0.2,open,hedge,hedge,open,,
